Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),Hill (Num),PGP,Hour_after,IC90 (Num) (uM),IC90 (Mod)
Mavda,TMPRSS2,ASAP-0011137,0.131,=,-5.96,1,48,,
Mavda,TMPRSS2,ASAP-0011137,0.11,=,-2.28,1,48,,
Mavda,TMPRSS2,ASAP-0011133,4.42,=,-3.13,1,48,,
Mavda,TMPRSS2,ASAP-0011133,5.96,=,-2.6,1,48,,
Mavda,TMPRSS2,ASAP-0011129,0.293,=,-2.29,1,48,,
Mavda,TMPRSS2,ASAP-0011129,0.528,=,-2.34,1,48,,
Mavda,TMPRSS2,ASAP-0011129,0.693,=,-2.93,1,48,,
Mavda,TMPRSS2,ASAP-0011124,3.81,=,,1,48,,
Mavda,TMPRSS2,ASAP-0011124,3.17,=,-5.12,1,48,,
Mavda,TMPRSS2,ASAP-0011059,1.8,=,-3.14,1,48,,
Mavda,TMPRSS2,ASAP-0011059,1.9,=,-3.31,1,48,,
Mavda,TMPRSS2,ASAP-0011049,2.56,=,-3.71,1,48,,
Mavda,TMPRSS2,ASAP-0011049,2.15,=,-2.3,1,48,,
Mavda,TMPRSS2,ASAP-0011034,2.9,=,-2.95,1,48,,
Mavda,TMPRSS2,ASAP-0011034,3.47,=,-2.45,1,48,,
Mavda,TMPRSS2,ASAP-0010750,36,>,,1,48,,
Mavda,TMPRSS2,ASAP-0010750,36,=,,1,48,,
Mavda,TMPRSS2,ASAP-0010743,1.51,=,-5.62,1,48,,
Mavda,TMPRSS2,ASAP-0010743,1.66,=,-4.59,1,48,,
Mavda,TMPRSS2,ASAP-0010738,13.9,=,-1.6,1,48,,
Mavda,TMPRSS2,ASAP-0010738,22.9,=,-1.38,1,48,,
Mavda,TMPRSS2,ASAP-0010736,36,>,,1,48,,
Mavda,TMPRSS2,ASAP-0010736,36,=,,1,48,,
Mavda,TMPRSS2,ASAP-0010734,36,>,-0.556,1,48,,
Mavda,TMPRSS2,ASAP-0010734,36,=,,1,48,,
Mavda,TMPRSS2,ASAP-0010721,36,>,-10.7,1,48,,
Mavda,TMPRSS2,ASAP-0010721,36,=,-1.03,1,48,,
Mavda,TMPRSS2,ASAP-0010712,5.55,=,-2.52,1,48,,
Mavda,TMPRSS2,ASAP-0010712,6.3,=,-2.84,1,48,,
Mavda,TMPRSS2,ASAP-0010711,3.7,=,-2.82,1,48,,
Mavda,TMPRSS2,ASAP-0010711,4.58,=,-2.03,1,48,,
Mavda,TMPRSS2,ASAP-0008675,4.5,=,-2.3,1,48,,
Mavda,TMPRSS2,ASAP-0008675,6.72,=,-2.57,1,48,,
Mavda,TMPRSS2,ASAP-0008672,3.81,=,-2.91,1,48,,
Mavda,TMPRSS2,ASAP-0008672,3.56,=,-2.56,1,48,,
Mavda,TMPRSS2,ASAP-0008669,3.76,=,-4.44,1,48,,
Mavda,TMPRSS2,ASAP-0008669,4.22,=,-2.58,1,48,,
Mavda,TMPRSS2,ASAP-0008665,1.95,=,-2.82,1,48,,
